file_name,topo1,topo2,topo3,topo4,address,yandex_map,address_short
voronezh,Воронеж,в Воронеже,по Воронежу,Воронежа,"Воронеж, улица Алексея Геращенко, 3",3A3b79629b5da14fc4b4ba7ff67c5c8c858bc10b45ff2bb352ed5a3a40d2a50cf3,"улица Алексея Геращенко, 3"
borisoglebsk,Борисоглебск,в Борисоглебске,по Борисоглебску,Борисоглебска,"Борисоглебск, улица Победы, 29Ж",3Abb05ae1583db94d04a763b2833c5d489bfe26b5e9b1c4777d6e220eec4a2554a,"улица Победы, 29Ж"
liski,Лиски,в Лисках,по Лискам,Лисок,"Лиски, улица Ломоносова, 46",3A5d53d5492d0620d9a2e63727363a06115c19ed747a3fd0d3a26fd42a8fe0cea8,"улица Ломоносова, 46"
rossosh,Россошь,в Россоши,по Россоши,Россоши,"Россошь, Пролетарская улица, 88",3A26e1f4abc04f9e5343919789fa1ec58a9a0e893e3d4b55a595685417df0db954,"Пролетарская улица, 88"
perm,Пермь,в Перьми,по Перьми,Перьми,"Пермь, Монастырская улица, 14Б",3Af1c4a04c470963465877650147a6308fdaf8773bc20e3a8e4e75354a6eff845d,"Монастырская улица, 14Б"
berezniki,Березники,в Березниках,по Березникам,Березников,"Березники, улица Челюскинцев, 12к5/1",3A5af3056712e303e3b0667f114a908ff64e339f85eea81a9ea0d98bc961ee8f18,"улица Челюскинцев, 12к5/1"
krasnokamsk,Краснокамск,в Краснокамске,по Краснокамску,Краснокамска,"Краснокамск, улица Орджоникидзе, 2Ак1",3Acc5768fec894b466ca5ff00c6f88ae53456acf19ebefd4e5980102abc2a748f1,"улица Орджоникидзе, 2Ак1"
kudymkar,Кудымкар,в Кудымкаре,по Кудымкару,Кудымкара,"Кудымкар, улица Лихачёва, 33",3A129386707fa813ebc72d35975e0db3822046bbb50fb5d41928a9c1f3d1a3e879,"улица Лихачёва, 33"
kungur,Кунгур,в Кунгуре,по Кунгуру,Кунгура,"Кунгур, Транспортная улица, 1Г",3A4076da4ef6ba82f6159f627f741432f9c3b5ff00453814cbfd5ec6379eea7d65,"Транспортная улица, 1Г"
lysva,Лысьва,в Лысьве,по Лысьве,Лысьвы,"Лысьва, Советская улица, 1",3A62cf4358b7d372dad62fecd29b6d76f6e8680b955d6756cf38b3f1bc6cea7efe,"Советская улица, 1"
solikamsk,Соликамск,в Соликамске,по Соликамску,Соликамска,"Соликамск, улица 20-летия Победы, 159",3Acb852db628b2e6cb3941c1e5a3988774000092344b1d7cb4d433e3092a9375d0,"улица 20-летия Победы, 159"
chaikovsky,Чайковский,в Чайковском,по Чайковскому,Чайковского,"Чайковский, улица Ленина, 61А",3A8053a537b330a637cea2876969940b2a1235fa85b3764beedbd3de300088a905,"улица Ленина, 61А"
chusovoy,Чусовой,в Чусовом,по Чусовому,Чусового,"Чусовой, улица Белинского, 8",3A0d423d01f9aa6b389a48c3ebcd0abaa1d9a0a00208a3efaa2b78651879981cc0,"улица Белинского, 8"
volgograd,Волгоград,в Волгограде,по Волгограду,Волгограда,"Волгоград, Вилянская улица, 13Ас3",3A38410c4f4fc0f275eaa554931b9247c690c4780657776f2b8d6e1aef83d4fc19,"Вилянская улица, 13Ас3"
volzhsky,Волжский,в Волжском,по Волжскому,Волжского,"Волжский, улица Александрова, 74",3A542fecbcf6e2fd6c223df5411e90751b641976e034274072c81b74886ea16bfb,"улица Александрова, 74"
kamyshin,Камышин,в Камышине,по Камышину,Камышина,"Камышин, Ангарская улица, 11",3A41b739cb22e2c74f480246a300d03256a5d26ccaeb4430d483d634c03464a2b8,"Ангарская улица, 11"
belgorod,Белгород,в Белгороде,по Белгороду,Белгорода,"Белгород, проспект Богдана Хмельницкого, 164",3A2d9fb491220ef10eca030291d67a4992fa565ac627ae5f842b69e441bb705c25,"проспект Богдана Хмельницкого, 164"
stary-oskol,Старый Оскол,в Старом Осколе,по Старому Осколу,Старого Оскола,"Старый Оскол, проспект Алексея Угарова, 6",3A1ef140f303b5ccc5918c793c5ef7f3213e54878495318958f4bfd8faa14d20c4,"проспект Алексея Угарова, 6"
bryansk,Брянск,в Брянске,по Брянску,Брянска,"Брянск, улица Красный Маяк, 98А",3Ac69c61ebb19ad864dd8c12f55b4c08b6b593512fedc945e00246f3534cd7777c,"улица Красный Маяк, 98А"
vladimir,Владимир,в Владимире,по Владимиру,Владимира,"Владимир, проспект Ленина, 46",3Ab75d2e4b00cf68dfa1631948ebe3358c272b8b2b68edc8864ba04123e101301e,"проспект Ленина, 46"
ivanovo,Иваново,в Иваново,по Иваново,Иваново,"Иваново, проспект Ленина, 57А",3Aece8b61ceaf56c2138751d98ca23f9443517c17dd201b9f6727f24900660205e,"проспект Ленина, 57А"
kaluga,Калуга,в Калуге,по Калуге,Калуги,"Калуга, улица Генерала Попова, 1Б",3A3954af6fcd6a3f370799537c75995710fb9b9881480a7648611aabe31817472e,"улица Генерала Попова, 1Б"
kostroma,Кострома,в Костроме,по Костроме,Костромы,"Кострома, улица Магистральная, 20",3A548620e7193b28d0162325de6f401e4ac4271f7ea6e449192220fefc8bd9ef9e,"улица Магистральная, 20"
kursk,Курск,в Курске,по Курску,Курска,"Курск, улица Карла Маркса, 59",3Ace2fda15530b2fc262518a0372297f7d73f275ee4003ccc60514e48395669613,"улица Карла Маркса, 59"
lipetsk,Липецк,в Липецке,по Липецку,Липецка,"Липецк, улица Советская, 66",3A9ac8a0288f864eeda6b9c20a62610e36284821b027cc7c7ea13d10db028d687e,"улица Советская, 66"
oryol,Орёл,в Орле,по Орлу,Орла,"Орёл, улица Герцена, 20",3A34491d77edcfea8fe530559e3b4f46b8ed95a09ae3f8c0d754d16ea734100cc5,"улица Герцена, 20"
ryazan,Рязань,в Рязани,по Рязани,Рязани,"Рязань, Первомайский проспект, 70",3A5b34790a95e0ce24be80a7f6979bcc856943ef6db0ed4e35442a494f2afe3bb6,"Первомайский проспект, 70"
smolensk,Смоленск,в Смоленске,по Смоленску,Смоленска,"Смоленск, Улица 25 Сентября, 35А",3A2d3763640aba5677342f8b48b599ddef2d86d51a9751b64ccbbcf3508a9f5a85,"Улица 25 Сентября, 35А"
tambov,Тамбов,в Тамбове,по Тамбову,Тамбова,"Тамбов, Улица Чичерина, 3",3A4647930fee22b1a498e885fbfd7bf7873759d7bed8bc8097b6ce884e377d3de3,"Улица Чичерина, 3"
tver,Тверь,в Твери,по Твери,Твери,"Тверь, Комсомольский проспект, 11",3A59d71de36e4e8f9def53884d38329f51d8822c5d7956e7f4b6914402f691cfbb,"Комсомольский проспект, 11"
tula,Тула,в Туле,по Туле,Тулы,"Тула, Красноармейский проспект, 26А",3Ab3dac315f052781efe5421e34191472b45d71dd7dab60aa7964127bd6baf3187,"Красноармейский проспект, 26А"
novomoskovsk,Новомосковск,в Новомосковске,по Новомосковску,Новомосковска,"Новомосковск, Улица Мира, 7В",3A1f66ca4e6efb4080a20ea534f356d2f54b169705e8144fecead87568995781f2,"Улица Мира, 7В"
yaroslavl,Ярославль,в Ярославле,по Ярославлю,Ярославля,"Ярославль, Тутаевское шоссе, 1",3A73e84f1e39715a194197b8891c29cb9f3a61f580397ae08ab9847c837be93b7b,"Тутаевское шоссе, 1"
arkhangelsk,Архангельск,в Архангельске,по Архангельску,Архангельска,"Архангельск, Московский проспект, 46",3A1de92e7b6c239ae2b0dace2b32c63f1767f706ad49bef1162fcfeb7337acd5e6,"Московский проспект, 46"
severodvinsk,Северодвинск,в Северодвинске,по Северодвинску,Северодвинска,"Северодвинск, Улица Ломоносова, 98А",3Acbea56ce4bd5725a7fa3f852e98b32317b7357c309df48951f24923d5635f5b2,"Улица Ломоносова, 98А"
vologda,Вологда,в Вологде,по Вологде,Вологды,"Вологда, Окружное шоссе, 12",3Ac12717ca88f66942c0b9011558572ea097377000d796ce13280f757e6c9359e7,"Окружное шоссе, 12"
cherepovets,Череповец,в Череповце,по Череповцу,Череповца,"Череповец, Проспект Победы, 93",3Ae93fc79247fddc28905be548817e989b18bafd5edc2941cbb474c44033bc799f,"Проспект Победы, 93"
